video_id,insightTrafficSourceType,views
HuwZoWLdSOg,EXT_URL,54.0
HuwZoWLdSOg,PLAYLIST,8.0
HuwZoWLdSOg,NOTIFICATION,20.0
EwPqE-5nLbM,NO_LINK_OTHER,3.0
EwPqE-5nLbM,SUBSCRIBER,108.0
EwPqE-5nLbM,YT_CHANNEL,73.0
EwPqE-5nLbM,YT_SEARCH,8.0
EwPqE-5nLbM,YT_OTHER_PAGE,4.0
EwPqE-5nLbM,NOTIFICATION,3.0
7NptBkx71bw,NO_LINK_OTHER,0
7NptBkx71bw,SUBSCRIBER,37.0
7NptBkx71bw,YT_CHANNEL,17.0
7NptBkx71bw,YT_SEARCH,9.0
7NptBkx71bw,RELATED_VIDEO,6.0
7NptBkx71bw,NOTIFICATION,3.0
BDWpYYEFpFs,NO_LINK_OTHER,0
BDWpYYEFpFs,SUBSCRIBER,70.0
BDWpYYEFpFs,YT_CHANNEL,50.0
BDWpYYEFpFs,YT_SEARCH,42.0
BDWpYYEFpFs,RELATED_VIDEO,1.0
BDWpYYEFpFs,YT_OTHER_PAGE,6.0
BDWpYYEFpFs,EXT_URL,13.0
BDWpYYEFpFs,NOTIFICATION,4.0
BDWpYYEFpFs,SHORTS,24.0
